"Reef","Site","Plot","Colony","Habitat","Depth","Cross_shelf","Taxa","Days_2022c","Survival_1","Area_2021","Area_cm_2021","log_2021","log10_2021","Note_2021","Note_2022"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_96","BA_S","Shallow","offshore","Pmas",-125,1,0.008438262,84.38262,4.435361456226,1.92625300568532,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_97","BA_S","Shallow","offshore","Pmas",-125,1,0.006172162,61.72162,4.12263427472017,1.79043731641618,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_98","BA_S","Shallow","offshore","Gspp",-125,1,0.006658499,66.58499,4.19847917677012,1.82337633885697,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_99","BA_S","Shallow","offshore","Menc",-125,1,0.009189769,91.89769,4.52067589302832,1.96330459481525,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_100","BA_S","Shallow","offshore","Acor",-125,1,0.023609014,236.09014,5.46421368125414,2.37307784970893,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_101","BA_S","Shallow","offshore","Acor",-125,1,0.039303541,393.03541,5.97389970959151,2.59443167931903,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_102","BA_S","Shallow","offshore","Acor",-125,1,0.036635997,366.35997,5.90361637464811,2.56390801478336,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_103","BA_S","Shallow","offshore","Pmas",-125,1,0.028623462,286.23462,5.65681182416734,2.45672216040094,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_104","BA_S","Shallow","offshore","Gspp",-125,1,0.004798537,47.98537,3.8708961727828,1.68110884785999,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_105","BA_S","Shallow","offshore","Lobo_sp",-125,1,0.008639598,86.39598,4.45894114694978,1.93649353525165,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_106","BA_S","Shallow","offshore","Pmas",-125,1,0.001880002,18.80002,2.93385793366512,1.27415831127884,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_107","BA_S","Shallow","offshore","Pver",-125,1,0.005683229,56.83229,4.04010465011569,1.75459515585691,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_108","BA_S","Shallow","offshore","Menc",-125,1,0.0130897,130.897,4.87441075439501,2.11692969316362,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_109","BA_S","Shallow","offshore","Pmas",-125,1,0.00514769,51.4769,3.94113316335456,1.71161238529079,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_110","BA_S","Shallow","offshore","Pver",-125,1,0.021740577,217.40577,5.38176551527327,2.33727106618039,NA,NA
